Level,Label,Score,Nalt_URI,1,2,3,4,5,6,7,8
3,intraventricular injection,82.92682927,,,,intraventricular injection,,,,,
4,hydration gels,69.56521739,,,,,hydration gels,,,,
4,intravenous fluid therapy,68.57142857,,,,,intravenous fluid therapy,,,,
3,insulin tolerance tests,97.43589744,,,,insulin tolerance tests,,,,,
3,biomedical imaging,62.85714286,,,,biomedical imaging,,,,,
5,nutritional gels,69.56521739,,,,,,nutritional gels,,,
3,perioperative care,86.66666667,,,,perioperative care,,,,,
2,euthanasia injection,64.28571429,,,euthanasia injection,,,,,,
5,gavage needles,51.85185185,,,,,,gavage needles,,,
5,metabolic cages,66.66666667,,,,,,metabolic cages,,,
2,replacement methods,61.11111111,,,replacement methods,,,,,,
4,human tissue use,57.14285714,,,,,human tissue use,,,,
7,brain spheres,57.14285714,,,,,,,,brain spheres,
3,antibody production,71.42857143,,,,antibody production,,,,,
3,animal-friendly affinity reagents,48.97959184,,,,animal-friendly affinity reagents,,,,,
3,New Approach methodologies,51.42857143,,,,New Approach methodologies,,,,,
3,nanotoxicology,83.33333333,,,,nanotoxicology,,,,,
3,systems toxicology,70.96774194,,,,systems toxicology,,,,,
3,computational toxicology,73.91304348,,,,computational toxicology,,,,,
4,read-across method,53.33333333,,,,,read-across method,,,,
4,up-and-down procedure (UDP),61.9047619,,,,,up-and-down procedure (UDP),,,,
3,in chemico tests,58.33333333,,,,in chemico tests,,,,,
4,bovine corneal opacity and permeability (eye irritation test),52.25225225,,,,,bovine corneal opacity and permeability (eye irritation test),,,,
4,cytosensor microphysiometer assay,48.14814815,,,,,cytosensor microphysiometer assay,,,,
4,direct peptide reactivity assay,51.1627907,,,,,direct peptide reactivity assay,,,,
4,epiocular assay,51.85185185,,,,,epiocular assay,,,,
4,fish embryo test,53.84615385,,,,,fish embryo test,,,,
4,genomic allergen rapid detection,54.54545455,,,,,genomic allergen rapid detection,,,,
5,ames test,100,,,,,,ames test,,,
5,yeast mutagenicity assay,66.66666667,,,,,,yeast mutagenicity assay,,,
4,human cell line activation test (h-CLAT),62.5,,,,,human cell line activation test (h-CLAT),,,,
4,In Vitro 3T3 NRU Phototoxicity Test,56.52173913,,,,,In Vitro 3T3 NRU Phototoxicity Test,,,,
4,KeratinoSens,70.58823529,,,,,KeratinoSens,,,,
4,neutral red uptake assay (NRU),45.45454545,,,,,neutral red uptake assay (NRU),,,,
4,receptor binding assay,51.42857143,,,,,receptor binding assay,,,,
4,RTgill-W1 cell line assay,51.61290323,,,,,RTgill-W1 cell line assay,,,,
4,short time exposure (STE) in vitro test method,50,,,,,short time exposure (STE) in vitro test method,,,,
4,toxin-binding inhibition test (ToBI),60,,,,,toxin-binding inhibition test (ToBI),,,,
4,Transcutaneous Electrical Resistance Test (TER),71.42857143,,,,,Transcutaneous Electrical Resistance Test (TER),,,,
4,Vitrigel-Eye Irritancy Test (EIT),57.77777778,,,,,Vitrigel-Eye Irritancy Test (EIT),,,,
3,biocompatibility testing,80,,,,biocompatibility testing,,,,,
4,Hen Egg Test–Chorionallantoic Membrane (HET-CAM),66.66666667,,,,,Hen Egg Test–Chorionallantoic Membrane (HET-CAM),,,,
4,limulus amebocyte lysate assay,100,,,,,limulus amebocyte lysate assay,,,,
5,fungal viability assay,77.77777778,,,,,,fungal viability assay,,,
4,Integrated Approaches to Testing and Assessment,48.27586207,,,,,Integrated Approaches to Testing and Assessment,,,,
4,physiology based pharmacodynamic models (PBPD),50.90909091,,,,,physiology based pharmacodynamic models (PBPD),,,,
4,physiologically based pharmacokinetic models (PBPK),48.48484848,,,,,physiologically based pharmacokinetic models (PBPK),,,,
4,QIVIVE (quantitative in vitro to in vivo extrapolation),84.74576271,,,,,QIVIVE (quantitative in vitro to in vivo extrapolation),,,,
4,artificial neural networks,76.47058824,,,,,artificial neural networks,,,,
3,ARRIVE guidelines,72,,,,ARRIVE guidelines,,,,,
3,PREPARE guidelines,72,,,,PREPARE guidelines,,,,,
3,pilot studies,64,,,,pilot studies,,,,,
4,statistical methods,75,,,,,statistical methods,,,,
4,diseases and disorders (animal and human),94.33962264,,,,,diseases and disorders (animal and human),,,,
2,breeding and genetic improvement,100,,,breeding and genetic improvement,,,,,,
3,adoption programs,72.72727273,,,,adoption programs,,,,,
3,preclinical animal models,72.72727273,,,,preclinical animal models,,,,,
3,translational value,66.66666667,,,,translational value,,,,,
2,pain management,74.07407407,,,pain management,,,,,,
3,nest scoring (welfare),56.25,,,,nest scoring (welfare),,,,,
3,Time to Incorporate to Nest Test (TINT),52.94117647,,,,Time to Incorporate to Nest Test (TINT),,,,,
4,pruritis,71.42857143,,,,,pruritis,,,,
4,amantadine,66.66666667,,,,,amantadine,,,,
4,gabapentin,55.55555556,,,,,gabapentin,,,,
4,hydromorphone,66.66666667,,,,,hydromorphone,,,,
4,maropitant,66.66666667,,,,,maropitant,,,,
4,robenacoxib,55.55555556,,,,,robenacoxib,,,,
4,tramadol,57.14285714,,,,,tramadol,,,,
4,propofol,71.42857143,,,,,propofol,,,,
5,carprofen,62.5,,,,,,carprofen,,,
5,deracoxib,50,,,,,,deracoxib,,,
5,etodolac,58.82352941,,,,,,etodolac,,,
5,firocoxib,50,,,,,,firocoxib,,,
5,grapiprant,61.53846154,,,,,,grapiprant,,,
5,Mavacoxib,42.85714286,,,,,,Mavacoxib,,,
5,meclofenamic acid,66.66666667,,,,,,meclofenamic acid,,,
5,metamizole,63.63636364,,,,,,metamizole,,,
5,Naproxen,62.5,,,,,,Naproxen,,,
5,Robenacoxib,55.55555556,,,,,,Robenacoxib,,,
5,Tepoxalin,61.53846154,,,,,,Tepoxalin,,,
5,tolfenamic acid,72,,,,,,tolfenamic acid,,,
5,vedaprofen,58.82352941,,,,,,vedaprofen,,,
3,reversal agents,64,,,,reversal agents,,,,,
4,midazolam,75,,,,,midazolam,,,,
4,zolazepam,66.66666667,,,,,zolazepam,,,,
3,   absolute replacement,63.15789474,,,,   absolute replacement,,,,,
3,   relative replacement,66.66666667,,,,   relative replacement,,,,,
2,animal welfare laws and regulations,73.46938776,,,animal welfare laws and regulations,,,,,,
4,Animal Welfare Act,86.66666667,,,,,Animal Welfare Act,,,,
4,Horse Protection Act,62.85714286,,,,,Horse Protection Act,,,,
4,Humane Methods of Slaughter Act,48.88888889,,,,,Humane Methods of Slaughter Act,,,,
4,Twenty-Eight Hour Law,51.61290323,,,,,Twenty-Eight Hour Law,,,,
2,animal welfare professionals,66.66666667,,,animal welfare professionals,,,,,,
3,animal control officers,76.19047619,,,,animal control officers,,,,,
3,animal dealers,72,,,,animal dealers,,,,,
3,inspectors (laboratory animal facilities),58.82352941,,,,inspectors (laboratory animal facilities),,,,,
3,regulators (animal welfare),72.22222222,,,,regulators (animal welfare),,,,,
2,animal welfare stakeholders,66.66666667,,,animal welfare stakeholders,,,,,,
4,Fund for the Replacement of Animals in Medical Experiments,71.55963303,,,,,Fund for the Replacement of Animals in Medical Experiments,,,,
4,Institute for Laboratory Animal Research,59.79381443,,,,,Institute for Laboratory Animal Research,,,,
4,National Center for the Replacement Refinement and Reduction of Animals in Research,100,,,,,National Center for the Replacement Refinement and Reduction of Animals in Research,,,,
4,Norecopa,54.54545455,,,,,Norecopa,,,,
4,North American 3Rs Collaborative,59.09090909,,,,,North American 3Rs Collaborative,,,,
4,Universities Federation for Animal Welfare,55.73770492,,,,,Universities Federation for Animal Welfare,,,,
6,Office of Laboratory Animal Welfare,62.5,,,,,,,Office of Laboratory Animal Welfare,,
