Label	our_def
ESTs	Was parenthetical to Expressed Sequence Tags.
Microarrays	ADC Term level 3.
RNA Seq	ADC Term level 3.
Genome Assembly	ADC Term level 3.
Genome Annotation	ADC Term level 3.
Stream Ecology	ADC Term level 3.
Water Quality	ADC Term level 3.
Hydrology	ADC Term level 3.
Evapotranspiration	ADC Term level 3.
Biomass	ADC Term level 3.
Harvest Yield and Quality	ADC Term level 3.
Species Composition	ADC Term level 3.
Physical Properties	ADC Term level 3.
Organisms	ADC Term level 3.
Organic Matter	ADC Term level 3.
Classification	ADC Term level 3.
Nutrients	ADC Term level 3.
Biogeochemistry	ADC Term level 3.
Greenhouse Gases	ADC Term level 3.
Particulate Emissions	ADC Term level 3.
Other Pollutants	ADC Term level 3.
Remote Sensing	ADC Term level 3.
Digital Elevation	ADC Term level 3.
Terrain Attributes	Was an alt ('/') term inline with 'Terrain Attributes'.
Land Cover	ADC Term level 3.
Land Use	Was an alt ('/') term inline with 'Land Cover'.
Soil Conservation	ADC Term level 3.
Tillage	ADC Term level 3.
Nutrient Management	ADC Term level 3.
Cropping System	ADC Term level 3.
Best Practices Management	ADC Term level 3.
Integrated Pest Management	ADC Term level 3.
Grain	ADC Term level 3.
Fiber	ADC Term level 3.
Leguminous Crops	ADC Term level 3.
Oilseeds	ADC Term level 3.
Specialty Crops	ADC Term level 3.
Eggs	ADC Term level 3.
Dairy	ADC Term level 3.
Meat	ADC Term level 3.
Land Forms	ADC Term level 3.
Organisms	ADC Term level 3.
Ecosystem	ADC Term level 3.
Corn	ADC Term level 4.
Oats	ADC Term level 4.
Wheat	ADC Term level 4.
Rice	ADC Term level 4.
Cotton	ADC Term level 4.
Peanuts	ADC Term level 4.
Soybeans	ADC Term level 4.
Peanuts	ADC Term level 4.
Rapeseed	ADC Term level 4.
Goat	ADC Term level 4.
Cattle	ADC Term level 4.
Alpaca	ADC Term level 4.
Poultry	ADC Term level 4.
Sheep	ADC Term level 4.
Pig	ADC Term level 4.
Aquatic Animals	ADC Term level 4.
Marine Animals	Was an alt ('/') term inline with 'Aquatic Animals'.
bioenergy	ADC Term level program_NALT.
insects	ADC Term level program_NALT.
life cycle assessment	ADC Term level program_NALT.
Long-Term Agroecosystem Research Network	ADC Term level program_NALT.
insects	ADC Term level program_NALT.
insect pests	ADC Term level program_NALT.
Bradysia coprophila 	ADC Term level i5K.
Nylanderia fulva 	ADC Term level i5K.
Varroa jacobsoni 	ADC Term level i5K.
Varroa destructor 	ADC Term level i5K.
Trichogramma pretiosum 	ADC Term level i5K.
Tribolium castaneum 	ADC Term level i5K.
Tigriopus californicus 	ADC Term level i5K.
Rhipicephalus microplus 	ADC Term level i5K.
Parasteatoda tepidariorum 	ADC Term level i5K.
Pachypsylla venusta 	ADC Term level i5K.
Orussus abietinus 	ADC Term level i5K.
Onthophagus taurus 	ADC Term level i5K.
Oncopeltus fasciatus 	ADC Term level i5K.
Nicrophorus vespilloides 	ADC Term level i5K.
Neodiprion lecontei 	ADC Term level i5K.
Microplitis demolitor 	ADC Term level i5K.
Melipona quadrifasciata 	ADC Term level i5K.
Megachile rotundata 	ADC Term level i5K.
Medauroidea extradentata 	ADC Term level i5K.
Mayetiola destructor 	ADC Term level i5K.
Manduca sexta 	ADC Term level i5K.
Mamestra configurata 	ADC Term level i5K.
Loxosceles reclusa 	ADC Term level i5K.
Locusta migratoria 	ADC Term level i5K.
Limnephilus lunatus 	ADC Term level i5K.
Latrodectus hesperus 	ADC Term level i5K.
Leptinotarsa decemlineata 	ADC Term level i5K.
Lasioglossum albipes 	ADC Term level i5K.
Bactrocera dorsalis 	ADC Term level i5K.
Cimex leticularis 	ADC Term level i5K.
Ceratitis capitata 	ADC Term level i5K.
Cephus cinctus 	ADC Term level i5K.
Centruroides sculpturatus 	ADC Term level i5K.
Centruroides exilicauda 	ADC Term level i5K.
Catajapyx aquilonaris 	ADC Term level i5K.
Bombus terrestris 	ADC Term level i5K.
Bombus impatiens 	ADC Term level i5K.
Blattella germanica 	ADC Term level i5K.
Bemisia tabaci 	ADC Term level i5K.
Bactrocera oleae 	ADC Term level i5K.
Bactrocera cucurbitae 	ADC Term level i5K.
Copidosoma floridanum 	ADC Term level i5K.
Athalia rosae 	ADC Term level i5K.
Apis mellifera 	ADC Term level i5K.
Anoplophora glabripennis 	ADC Term level i5K.
Amyelois transitella 	ADC Term level i5K.
Agrilus planipennis 	ADC Term level i5K.
Aethina tumida 	ADC Term level i5K.
Clitarchus hookeri 	ADC Term level i5K.
Copidosoma floridanum 	ADC Term level i5K.
Laodelphax striatellus 	ADC Term level i5K.
Euglossa dilemma 	ADC Term level i5K.
Ladona fulva 	ADC Term level i5K.
Hyalella azteca 	ADC Term level i5K.
Homalodisca vitripennis 	ADC Term level i5K.
Holacanthella duospinosa 	ADC Term level i5K.
Heliothis virescens 	ADC Term level i5K.
Halyomorpha halys 	ADC Term level i5K.
Habropoda laboriosa 	ADC Term level i5K.
Gerris buenoi 	ADC Term level i5K.
Frankliniella occidentalis 	ADC Term level i5K.
Fopius arisanus 	ADC Term level i5K.
Eurytemora affinis 	ADC Term level i5K.
Eufriesea mexicana 	ADC Term level i5K.
Diachasma alloeum 	ADC Term level i5K.
Ephemera danica 	ADC Term level i5K.
Dufourea novaeangliae 	ADC Term level i5K.
Drosophila takahashii 	ADC Term level i5K.
Drosophila rhopaloa 	ADC Term level i5K.
Drosophila kikkawai 	ADC Term level i5K.
Drosophila ficusphila 	ADC Term level i5K.
Drosophila eugracilis 	ADC Term level i5K.
Drosophila elegans 	ADC Term level i5K.
Drosophila bipectinata 	ADC Term level i5K.
Drosophila biarmipes 	ADC Term level i5K.
Drosophila armipes 	ADC Term level i5K.
Diaphorina citri	ADC Term level i5K.
ecosystem management	ADC Term level VPGC_subs.
agroecosystems	ADC Term level VPGC_subs.
animal diseases	ADC Term level VPGC_subs.
biological control	ADC Term level VPGC_subs.
animal health	ADC Term level VPGC_subs.
plant health	ADC Term level VPGC_subs.
arthropod-borne diseases	ADC Term level VPGC_subs.
medical and veterinary entomology	ADC Term level VPGC_subs.
fire ants	ADC Term level VPGC_subs.
Culicidae	ADC Term level VPGC_subs.
invasive species	ADC Term level VPGC_subs.
insects	ADC Term level VPGC_subs.
Cochliomyia hominivorax	ADC Term level VPGC_subs.
ticks	ADC Term level VPGC_subs.
Plant Science and Plant Products	ADC Term level VPGC_sub_sub.
Animal Science and Animal Products	ADC Term level VPGC_sub_sub.
Biological Sciences	ADC Term level VPGC_sub_sub.
Natural Resources, Earth and Environmental Sciences	ADC Term level VPGC_sub_sub.
Health and Pathology	ADC Term level VPGC_top.
Insects and Entomology	ADC Term level VPGC_top.
