Label,NALT_URI
anti-arrhythmia agents,https://lod.nal.usda.gov/nalt/10133
antiarrhythmia agents,https://lod.nal.usda.gov/nalt/10133_1
antiarrhythmic agents,https://lod.nal.usda.gov/nalt/10133_2
anti-diarrhea effect,https://lod.nal.usda.gov/nalt/10135
anti-diarrheal effect,https://lod.nal.usda.gov/nalt/10135_1
anti-diarrhoeal effect,https://lod.nal.usda.gov/nalt/10135_2
antidiarrheal activity,https://lod.nal.usda.gov/nalt/10135_3
antidiarrheal properties,https://lod.nal.usda.gov/nalt/10135_4
antidiarrhoeal activity,https://lod.nal.usda.gov/nalt/10135_5
antidiarrhoeal effect,https://lod.nal.usda.gov/nalt/10135_6
anti-emetics,https://lod.nal.usda.gov/nalt/10139
antiemetic agents,https://lod.nal.usda.gov/nalt/10139_1
antiemetic drugs,https://lod.nal.usda.gov/nalt/10139_2
air transport,https://lod.nal.usda.gov/nalt/1014
air travel,https://lod.nal.usda.gov/nalt/1014_1
aviation transport,https://lod.nal.usda.gov/nalt/1014_2
aviation transportation,https://lod.nal.usda.gov/nalt/1014_3
jets (transportation),https://lod.nal.usda.gov/nalt/1014_4
shipping (by air),https://lod.nal.usda.gov/nalt/1014_5
antiinfective activity,https://lod.nal.usda.gov/nalt/10142
antiinfective properties,https://lod.nal.usda.gov/nalt/10142_1
anti-inflammatory effects,https://lod.nal.usda.gov/nalt/10143
anti-inflammatory factors,https://lod.nal.usda.gov/nalt/10143_1
anti-inflammatory potential,https://lod.nal.usda.gov/nalt/10143_2
anti-inflammatory properties,https://lod.nal.usda.gov/nalt/10143_3
antiinflammatory activity,https://lod.nal.usda.gov/nalt/10143_4
antiinflammatory effects,https://lod.nal.usda.gov/nalt/10143_5
antiinflammatory factors,https://lod.nal.usda.gov/nalt/10143_6
antiinflammatory properties,https://lod.nal.usda.gov/nalt/10143_7
anti-inflammatory drugs,https://lod.nal.usda.gov/nalt/10149
antiinflammatory agents,https://lod.nal.usda.gov/nalt/10149_1
containerisation (cargo),https://lod.nal.usda.gov/nalt/1015
containerization (cargo),https://lod.nal.usda.gov/nalt/1015_1
flumetasone,https://lod.nal.usda.gov/nalt/10154
glycyrrhizic acid,https://lod.nal.usda.gov/nalt/10155
glycyrrhizinic acid,https://lod.nal.usda.gov/nalt/10155_1
indometacin,https://lod.nal.usda.gov/nalt/10156
NSAIDs (nonsteroidal anti-inflammatory agents),https://lod.nal.usda.gov/nalt/10158
NSAIDs (nonsteroidal anti-inflammatory drugs),https://lod.nal.usda.gov/nalt/10158_1
non-steroidal anti-inflammatory agents,https://lod.nal.usda.gov/nalt/10158_2
non-steroidal anti-inflammatory drugs,https://lod.nal.usda.gov/nalt/10158_3
non-steroidal antiinflammatory agents,https://lod.nal.usda.gov/nalt/10158_4
non-steroidal antiinflammatory drugs,https://lod.nal.usda.gov/nalt/10158_5
nonsteroidal anti-inflammatory drugs,https://lod.nal.usda.gov/nalt/10158_6
nonsteroidal antiinflammatory agents,https://lod.nal.usda.gov/nalt/10158_7
land transport,https://lod.nal.usda.gov/nalt/1016
shipping (by land),https://lod.nal.usda.gov/nalt/1016_1
anti-ulcer effect,https://lod.nal.usda.gov/nalt/10160
anti-ulcerogenic activity,https://lod.nal.usda.gov/nalt/10160_1
anti-ulcerogenic effect,https://lod.nal.usda.gov/nalt/10160_2
anti-ulcerogenic property,https://lod.nal.usda.gov/nalt/10160_3
antiulcer activity,https://lod.nal.usda.gov/nalt/10160_4
antiulcer effect,https://lod.nal.usda.gov/nalt/10160_5
antiulcerogenic activity,https://lod.nal.usda.gov/nalt/10160_6
antiulcerogenic effect,https://lod.nal.usda.gov/nalt/10160_7
antiulcerogenic property,https://lod.nal.usda.gov/nalt/10160_8
peptic ulcer,https://lod.nal.usda.gov/nalt/10170
drug plants,https://lod.nal.usda.gov/nalt/10175
medicinal herbs,https://lod.nal.usda.gov/nalt/10175_1
medicinal shrubs,https://lod.nal.usda.gov/nalt/10175_2
medicinal trees,https://lod.nal.usda.gov/nalt/10175_3
pharmaceutical crops,https://lod.nal.usda.gov/nalt/10175_4
antimycobacterial properties,https://lod.nal.usda.gov/nalt/10177
bactericidal effect,https://lod.nal.usda.gov/nalt/10177_1
bacteriostasis,https://lod.nal.usda.gov/nalt/10177_2
bacterial antagonism,https://lod.nal.usda.gov/nalt/10179
fungal antagonism,https://lod.nal.usda.gov/nalt/10179_1
microbial antagonism,https://lod.nal.usda.gov/nalt/10179_2
pharmaceutical residues,https://lod.nal.usda.gov/nalt/10183
antibacterial resistance,https://lod.nal.usda.gov/nalt/10184
antibiotic drug resistance,https://lod.nal.usda.gov/nalt/10184_1
antimicrobial drug resistance,https://lod.nal.usda.gov/nalt/10184_2
antimicrobial resistance,https://lod.nal.usda.gov/nalt/10184_3
MIC (minimum inhibitory concentration),https://lod.nal.usda.gov/nalt/10185
broth microdilution method,https://lod.nal.usda.gov/nalt/10185_1
anti-bacterial agents,https://lod.nal.usda.gov/nalt/10186
anti-mycobacterial agents,https://lod.nal.usda.gov/nalt/10186_1
antibacterial agents,https://lod.nal.usda.gov/nalt/10186_2
antimycobacterial agents,https://lod.nal.usda.gov/nalt/10186_3
antitubercular agents,https://lod.nal.usda.gov/nalt/10186_4
antitubercular drugs,https://lod.nal.usda.gov/nalt/10186_5
bactericides,https://lod.nal.usda.gov/nalt/10186_6
bacteriocidal agents,https://lod.nal.usda.gov/nalt/10186_7
bacteriocides,https://lod.nal.usda.gov/nalt/10186_8
apramycin sulfate,https://lod.nal.usda.gov/nalt/10188
alpha-avoparcin,https://lod.nal.usda.gov/nalt/10189
therapeutic effect,https://lod.nal.usda.gov/nalt/1019
therapy,https://lod.nal.usda.gov/nalt/1019_1
flavomycin,https://lod.nal.usda.gov/nalt/10190
blasticidin S hydrochloride,https://lod.nal.usda.gov/nalt/10192
blasticidin-S,https://lod.nal.usda.gov/nalt/10192_1
cephalosporin antibiotics,https://lod.nal.usda.gov/nalt/10194
chlornitromycin,https://lod.nal.usda.gov/nalt/10195
chloromycetin,https://lod.nal.usda.gov/nalt/10195_1
detreomycin,https://lod.nal.usda.gov/nalt/10195_2
levomycetin,https://lod.nal.usda.gov/nalt/10195_3
ophthochlor,https://lod.nal.usda.gov/nalt/10195_4
syntomycin,https://lod.nal.usda.gov/nalt/10195_5
dihydrostreptomycin sulfate,https://lod.nal.usda.gov/nalt/10200
lincocin,https://lod.nal.usda.gov/nalt/10202
lincomycin hydrochloride,https://lod.nal.usda.gov/nalt/10202_1
rifamycin SV,https://lod.nal.usda.gov/nalt/10208
chronic effects,https://lod.nal.usda.gov/nalt/1021
long-term effects,https://lod.nal.usda.gov/nalt/1021_1
antibloating agents,https://lod.nal.usda.gov/nalt/10217
auto-antibodies,https://lod.nal.usda.gov/nalt/10219
antibody screening,https://lod.nal.usda.gov/nalt/10224
antibody testing,https://lod.nal.usda.gov/nalt/10224_1
antisera,https://lod.nal.usda.gov/nalt/10225
hyperimmune serum,https://lod.nal.usda.gov/nalt/10225_1
immune sera,https://lod.nal.usda.gov/nalt/10225_2
immune serum,https://lod.nal.usda.gov/nalt/10225_3
antibody prevalence,https://lod.nal.usda.gov/nalt/10226
seronegativity,https://lod.nal.usda.gov/nalt/10226_1
seropositivity,https://lod.nal.usda.gov/nalt/10226_2
antibody production,https://lod.nal.usda.gov/nalt/10230
antibody response,https://lod.nal.usda.gov/nalt/10230_1
autoantibody production,https://lod.nal.usda.gov/nalt/10230_2
immunity response,https://lod.nal.usda.gov/nalt/10232
immunological response,https://lod.nal.usda.gov/nalt/10232_1
humoral immune response,https://lod.nal.usda.gov/nalt/10233
humoral response,https://lod.nal.usda.gov/nalt/10233_1
anticarcinogenesis,https://lod.nal.usda.gov/nalt/10236
anticarcinogenic effect,https://lod.nal.usda.gov/nalt/10236_1
anticarcinogenic properties,https://lod.nal.usda.gov/nalt/10236_2
Gammaproteobacteria,https://lod.nal.usda.gov/nalt/1024
Proteobacteria gamma subdivision,https://lod.nal.usda.gov/nalt/1024_1
"Proteobacteria, gamma subdivision",https://lod.nal.usda.gov/nalt/1024_2
"purple bacteria, gamma subdivision",https://lod.nal.usda.gov/nalt/1024_3
biologic activity,https://lod.nal.usda.gov/nalt/10240
biological activity,https://lod.nal.usda.gov/nalt/10240_1
velvetbean caterpillar,https://lod.nal.usda.gov/nalt/10243
AgMNPV (Anticarsia gemmatalis multiple nucleopolyhedrovirus),https://lod.nal.usda.gov/nalt/10245
Anticarsia gemmatalis MNPV,https://lod.nal.usda.gov/nalt/10245_1
Baculovirus anticarsia,https://lod.nal.usda.gov/nalt/10245_2
anticholesteremic drugs,https://lod.nal.usda.gov/nalt/10248
cholesterol inhibitors,https://lod.nal.usda.gov/nalt/10248_1
cholesterol lowering agents,https://lod.nal.usda.gov/nalt/10248_2
hypocholesteremic agents,https://lod.nal.usda.gov/nalt/10248_3
antilipemics,https://lod.nal.usda.gov/nalt/10249
antilipid drugs,https://lod.nal.usda.gov/nalt/10249_1
hypolipemic agents,https://lod.nal.usda.gov/nalt/10249_2
hypolipidemic agents,https://lod.nal.usda.gov/nalt/10249_3
lipid-lowering agents,https://lod.nal.usda.gov/nalt/10249_4
mevinolin,https://lod.nal.usda.gov/nalt/10250
monacolin K,https://lod.nal.usda.gov/nalt/10250_1
cholesterol lowering effect,https://lod.nal.usda.gov/nalt/10251
cholesterol-lowering effect,https://lod.nal.usda.gov/nalt/10251_1
cholesterol-lowering properties,https://lod.nal.usda.gov/nalt/10251_2
cholesterolemic effect,https://lod.nal.usda.gov/nalt/10251_3
hypercholesterolemic activity,https://lod.nal.usda.gov/nalt/10251_4
hypercholesterolemic effect,https://lod.nal.usda.gov/nalt/10251_5
hypercholesterolemic properties,https://lod.nal.usda.gov/nalt/10251_6
hypocholesterolemic activity,https://lod.nal.usda.gov/nalt/10251_7
hypocholesterolemic effect,https://lod.nal.usda.gov/nalt/10251_8
hypocholesterolemic properties,https://lod.nal.usda.gov/nalt/10251_9
hypercholesteremia,https://lod.nal.usda.gov/nalt/10252
hypercholesterolaemia,https://lod.nal.usda.gov/nalt/10252_1
anticlastogenic activity,https://lod.nal.usda.gov/nalt/10254
antimutagenic effect,https://lod.nal.usda.gov/nalt/10254_1
antimutagenic properties,https://lod.nal.usda.gov/nalt/10254_2
Zigadenus elegans,https://lod.nal.usda.gov/nalt/10256
Zygadenus elegans,https://lod.nal.usda.gov/nalt/10256_1
anticoagulant effect,https://lod.nal.usda.gov/nalt/10261
anticoagulant properties,https://lod.nal.usda.gov/nalt/10261_1
blood clotting,https://lod.nal.usda.gov/nalt/10264
high molecular weight heparin,https://lod.nal.usda.gov/nalt/10265
low molecular weight heparin,https://lod.nal.usda.gov/nalt/10265_1
anticoccidial agents,https://lod.nal.usda.gov/nalt/10269
anticoccidials,https://lod.nal.usda.gov/nalt/10269_1
Oceanomonas,https://lod.nal.usda.gov/nalt/1027
antiepileptic agents,https://lod.nal.usda.gov/nalt/10271
antiepileptic drugs,https://lod.nal.usda.gov/nalt/10271_1
antiepileptics,https://lod.nal.usda.gov/nalt/10271_2
antidepressant drugs,https://lod.nal.usda.gov/nalt/10278
antidepressive agents,https://lod.nal.usda.gov/nalt/10278_1
depressive disorder,https://lod.nal.usda.gov/nalt/10280
emotional depression,https://lod.nal.usda.gov/nalt/10280_1
psychological depression,https://lod.nal.usda.gov/nalt/10280_2
antidiabetic agents,https://lod.nal.usda.gov/nalt/10283
antidiabetic drugs,https://lod.nal.usda.gov/nalt/10283_1
antidiabetics,https://lod.nal.usda.gov/nalt/10283_2
antihyperglycemic agents,https://lod.nal.usda.gov/nalt/10283_3
antihyperglycemics,https://lod.nal.usda.gov/nalt/10283_4
hypoglycemic drugs,https://lod.nal.usda.gov/nalt/10283_5
diarrheal illness,https://lod.nal.usda.gov/nalt/10285
diarrhoea,https://lod.nal.usda.gov/nalt/10285_1
scours (disease),https://lod.nal.usda.gov/nalt/10285_2
Actinomycetes,https://lod.nal.usda.gov/nalt/1029
antidiuretic hormone,https://lod.nal.usda.gov/nalt/10290
control measures,https://lod.nal.usda.gov/nalt/10302
control methodology,https://lod.nal.usda.gov/nalt/10302_1
control practices,https://lod.nal.usda.gov/nalt/10302_2
disease control methods,https://lod.nal.usda.gov/nalt/10302_3
pest control methods,https://lod.nal.usda.gov/nalt/10302_4
antifeedant activity,https://lod.nal.usda.gov/nalt/10303
antifeedant effect,https://lod.nal.usda.gov/nalt/10303_1
antifeeding effect,https://lod.nal.usda.gov/nalt/10303_2
antifeeding properties,https://lod.nal.usda.gov/nalt/10303_3
birth control,https://lod.nal.usda.gov/nalt/10311
pregnancy prevention,https://lod.nal.usda.gov/nalt/10311_1
rumensin,https://lod.nal.usda.gov/nalt/10323
propanoic acid,https://lod.nal.usda.gov/nalt/10329
anti-yeast activity,https://lod.nal.usda.gov/nalt/10331
antimycotic properties,https://lod.nal.usda.gov/nalt/10331_1
fungicidal properties,https://lod.nal.usda.gov/nalt/10331_2
fungistatic activity,https://lod.nal.usda.gov/nalt/10331_3
antigen antibody complex,https://lod.nal.usda.gov/nalt/10336
immune complex,https://lod.nal.usda.gov/nalt/10336_1
immune complexes,https://lod.nal.usda.gov/nalt/10336_2
antigen testing,https://lod.nal.usda.gov/nalt/10338
cell mediated immunity,https://lod.nal.usda.gov/nalt/10341
cell-mediated immune response,https://lod.nal.usda.gov/nalt/10341_1
cellular immune response,https://lod.nal.usda.gov/nalt/10341_2
cellular immunity,https://lod.nal.usda.gov/nalt/10341_3
antigen presenting cells,https://lod.nal.usda.gov/nalt/10342
Type III hypersensitivity,https://lod.nal.usda.gov/nalt/10345
cross reactivity,https://lod.nal.usda.gov/nalt/10346
cross-reaction,https://lod.nal.usda.gov/nalt/10346_1
cross-reactivity,https://lod.nal.usda.gov/nalt/10346_2
antigenic determinants,https://lod.nal.usda.gov/nalt/10349
antigenic diversity,https://lod.nal.usda.gov/nalt/10350
antigenic drift,https://lod.nal.usda.gov/nalt/10350_1
antigenic shift,https://lod.nal.usda.gov/nalt/10350_2
antigenic switching,https://lod.nal.usda.gov/nalt/10350_3
genetic differentiation,https://lod.nal.usda.gov/nalt/10351
genetic divergence,https://lod.nal.usda.gov/nalt/10351_1
genetic diversity,https://lod.nal.usda.gov/nalt/10351_2
genetic variability,https://lod.nal.usda.gov/nalt/10351_3
genotypic diversity,https://lod.nal.usda.gov/nalt/10351_4
serogroups,https://lod.nal.usda.gov/nalt/10353
serovars,https://lod.nal.usda.gov/nalt/10353_1
ectoantigens,https://lod.nal.usda.gov/nalt/10360
cell surface antigens,https://lod.nal.usda.gov/nalt/10368
Antigua,https://lod.nal.usda.gov/nalt/10371
Barbuda,https://lod.nal.usda.gov/nalt/10371_1
Redonda,https://lod.nal.usda.gov/nalt/10371_2
antihistaminics,https://lod.nal.usda.gov/nalt/10376
histamine antagonists,https://lod.nal.usda.gov/nalt/10376_1
antihypertensive activity,https://lod.nal.usda.gov/nalt/10383
antihypertensive properties,https://lod.nal.usda.gov/nalt/10383_1
hypotensive effect,https://lod.nal.usda.gov/nalt/10383_2
anti-hypertensive agents,https://lod.nal.usda.gov/nalt/10384
anti-hypertensives,https://lod.nal.usda.gov/nalt/10384_1
antihypertensive drugs,https://lod.nal.usda.gov/nalt/10384_2
antihypertensives,https://lod.nal.usda.gov/nalt/10384_3
high blood pressure,https://lod.nal.usda.gov/nalt/10391
hypertension disorders,https://lod.nal.usda.gov/nalt/10391_1
hypertensive disorders,https://lod.nal.usda.gov/nalt/10391_2
owls,https://lod.nal.usda.gov/nalt/104
dyslipidemia,https://lod.nal.usda.gov/nalt/10402
hyperlipemia,https://lod.nal.usda.gov/nalt/10402_1
hyperlipidaemia,https://lod.nal.usda.gov/nalt/10402_2
lipemia,https://lod.nal.usda.gov/nalt/10402_3
lipidemia,https://lod.nal.usda.gov/nalt/10402_4
hyperlipemic activity,https://lod.nal.usda.gov/nalt/10403
hyperlipemic effect,https://lod.nal.usda.gov/nalt/10403_1
hyperlipemic properties,https://lod.nal.usda.gov/nalt/10403_2
hypolipemic activity,https://lod.nal.usda.gov/nalt/10403_3
hypolipemic effect,https://lod.nal.usda.gov/nalt/10403_4
hypolipemic properties,https://lod.nal.usda.gov/nalt/10403_5
lipaemic effect,https://lod.nal.usda.gov/nalt/10403_6
lipemic activity,https://lod.nal.usda.gov/nalt/10403_7
lipemic properties,https://lod.nal.usda.gov/nalt/10403_8
lipid lowering effect,https://lod.nal.usda.gov/nalt/10403_9
lipid-lowering effect,https://lod.nal.usda.gov/nalt/10403_10
pronghorn,https://lod.nal.usda.gov/nalt/10408
pyrrhocorid bugs,https://lod.nal.usda.gov/nalt/10411
anti-malarials,https://lod.nal.usda.gov/nalt/10414
anti-plasmodials,https://lod.nal.usda.gov/nalt/10414_1
antimalarial agents,https://lod.nal.usda.gov/nalt/10414_2
antimalarial drugs,https://lod.nal.usda.gov/nalt/10414_3
antiplasmodial agents,https://lod.nal.usda.gov/nalt/10414_4
antiplasmodials,https://lod.nal.usda.gov/nalt/10414_5
fanasil,https://lod.nal.usda.gov/nalt/10419
sulformethoxine,https://lod.nal.usda.gov/nalt/10419_1
sulformetoxine,https://lod.nal.usda.gov/nalt/10419_2
sulphadoxine,https://lod.nal.usda.gov/nalt/10419_3
sulphorthodimethoxine,https://lod.nal.usda.gov/nalt/10419_4
Betaproteobacteria,https://lod.nal.usda.gov/nalt/1042
Proteobacteria beta subdivision,https://lod.nal.usda.gov/nalt/1042_1
"Proteobacteria, beta subdivision",https://lod.nal.usda.gov/nalt/1042_2
antiviral drugs,https://lod.nal.usda.gov/nalt/10422
ceftiofur hydrochloride,https://lod.nal.usda.gov/nalt/10426
ceftiofur sodium,https://lod.nal.usda.gov/nalt/10426_1
ciprofloxacin hydrochloride,https://lod.nal.usda.gov/nalt/10428
ciprofloxacine,https://lod.nal.usda.gov/nalt/10428_1
sulfadimethazine,https://lod.nal.usda.gov/nalt/10438
sulfadimidine,https://lod.nal.usda.gov/nalt/10438_1
sulphadimethazine,https://lod.nal.usda.gov/nalt/10438_2
sulphadimidine,https://lod.nal.usda.gov/nalt/10438_3
antibacterial peptides,https://lod.nal.usda.gov/nalt/10450
antibiotic peptides,https://lod.nal.usda.gov/nalt/10450_1
antifungal peptides,https://lod.nal.usda.gov/nalt/10450_2
cis-diamminedichloroplatinum,https://lod.nal.usda.gov/nalt/10462
adriamycin,https://lod.nal.usda.gov/nalt/10464
doxorubicin hydrochloride,https://lod.nal.usda.gov/nalt/10464_1
5-fluorouracil,https://lod.nal.usda.gov/nalt/10466
MGA (melengesterol acetate),https://lod.nal.usda.gov/nalt/10467
MGA (melengestrol acetate),https://lod.nal.usda.gov/nalt/10467_1
melengesterol,https://lod.nal.usda.gov/nalt/10467_2
melengesterol acetate,https://lod.nal.usda.gov/nalt/10467_3
melengestrol acetate,https://lod.nal.usda.gov/nalt/10467_4
antinutritive factors,https://lod.nal.usda.gov/nalt/10475
phytoconstituents,https://lod.nal.usda.gov/nalt/10478
plant composition (chemistry),https://lod.nal.usda.gov/nalt/10478_1
food control,https://lod.nal.usda.gov/nalt/10482
food protection,https://lod.nal.usda.gov/nalt/10482_1
food safety control,https://lod.nal.usda.gov/nalt/10482_2
Callitris hugelli,https://lod.nal.usda.gov/nalt/104838
Lewis' flax,https://lod.nal.usda.gov/nalt/104847
Norwalk-like viruses,https://lod.nal.usda.gov/nalt/104849
small round structured viruses,https://lod.nal.usda.gov/nalt/104849_1
small round-structured viruses,https://lod.nal.usda.gov/nalt/104849_2
natural toxins,https://lod.nal.usda.gov/nalt/10485
naturally occurring toxins,https://lod.nal.usda.gov/nalt/10485_1
Sapporo-like viruses,https://lod.nal.usda.gov/nalt/104854
endemic species,https://lod.nal.usda.gov/nalt/104857
endemicity,https://lod.nal.usda.gov/nalt/104857_1
endemism,https://lod.nal.usda.gov/nalt/104857_2
native species,https://lod.nal.usda.gov/nalt/104857_3
biologic nutritional availability,https://lod.nal.usda.gov/nalt/10486
biological nutritional availability,https://lod.nal.usda.gov/nalt/10486_1
dietary value,https://lod.nal.usda.gov/nalt/10486_2
fattening value,https://lod.nal.usda.gov/nalt/10486_3
feed nutritive value,https://lod.nal.usda.gov/nalt/10486_4
feed value,https://lod.nal.usda.gov/nalt/10486_5
feeding value,https://lod.nal.usda.gov/nalt/10486_6
food nutritive value,https://lod.nal.usda.gov/nalt/10486_7
food value,https://lod.nal.usda.gov/nalt/10486_8
nutrient value,https://lod.nal.usda.gov/nalt/10486_9
